date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2008-08-29,4.07333333333333,4.99,3.17333333333333,4.07333333333333,3487500.0,12.22,0.0,14.97,9.52,12.22,1.0,1162500.0
2008-07-31,4.05333333333333,4.24666666666667,2.69,3.16666666666667,3634500.0,12.16,0.0,12.74,8.07,9.5,1.0,1211500.0
2008-06-30,3.16666666666667,3.97333333333333,2.91666666666667,3.05,5282100.0,9.5,0.0,11.92,8.75,9.15,1.0,1760700.0
2008-05-30,3.05333333333333,5.31,2.75,5.18666666666667,10056300.0,9.16,0.0,15.93,8.25,15.56,1.0,3352100.0
2008-04-30,5.06333333333333,5.31666666666667,4.47,4.96,3519900.0,15.19,0.0,15.95,13.41,14.88,1.0,1173300.0
2008-03-31,4.89666666666667,5.43,3.83666666666667,4.82333333333333,6752400.0,14.69,0.0,16.29,11.51,14.47,1.0,2250800.0
2008-02-29,4.82,5.56333333333333,4.48333333333333,4.71,6563100.0,14.46,0.0,16.69,13.45,14.13,1.0,2187700.0
2008-01-31,4.68333333333333,5.19666666666667,3.86666666666667,5.12666666666667,8099700.0,14.05,0.0,15.59,11.6,15.38,1.0,2699900.0
2007-12-31,5.14666666666667,6.09333333333333,4.94333333333333,5.88666666666667,4791300.0,15.44,0.0,18.28,14.83,17.66,1.0,1597100.0
2007-11-30,5.85666666666667,7.33,5.71,7.33,7125900.0,17.57,0.0,21.99,17.13,21.99,1.0,2375300.0
2007-10-31,7.29666666666667,8.33,6.66333333333333,7.85666666666667,4123800.0,21.89,0.0,24.99,19.99,23.57,1.0,1374600.0
2007-09-28,7.87333333333333,8.36666666666667,6.56666666666667,6.67666666666667,4821300.0,23.62,0.0,25.1,19.7,20.03,1.0,1607100.0
2007-08-31,6.68,8.73333333333333,6.46666666666667,6.78666666666667,10430100.0,20.04,0.0,26.2,19.4,20.36,1.0,3476700.0
2007-07-31,6.79333333333333,8.83333333333333,6.45,8.33333333333333,6276300.0,20.38,0.0,26.5,19.35,25.0,1.0,2092100.0
2007-06-29,8.29,8.53333333333333,6.58666666666667,6.78333333333333,9738900.0,24.87,0.0,25.6,19.76,20.35,1.0,3246300.0
2007-05-31,6.72,7.4,6.05333333333333,6.25,5176200.0,20.16,0.0,22.2,18.16,18.75,1.0,1725400.0
2007-04-30,6.41666666666667,7.56333333333333,6.24666666666667,7.31,3147600.0,19.25,0.0,22.69,18.74,21.93,1.0,1049200.0
2007-03-30,7.30333333333333,7.30333333333333,5.58666666666667,5.87333333333333,4520700.0,21.91,0.0,21.91,16.76,17.62,1.0,1506900.0
2007-02-28,6.05,6.60666666666667,5.88,6.08333333333333,4239600.0,18.15,0.0,19.82,17.64,18.25,1.0,1413200.0
2007-01-31,6.08,6.08,4.76,5.34666666666667,6369900.0,18.24,0.0,18.24,14.28,16.04,1.0,2123300.0
2006-12-29,5.32,5.35,4.54,4.76666666666667,5429700.0,15.96,0.0,16.05,13.62,14.3,1.0,1809900.0
2006-11-30,4.79,5.81,4.70333333333333,5.64,5763300.0,14.37,0.0,17.43,14.11,16.92,1.0,1921100.0
2006-10-31,5.60333333333333,6.42333333333333,5.40666666666667,6.08,4506900.0,16.81,0.0,19.27,16.22,18.24,1.0,1502300.0
2006-09-29,6.11333333333333,6.74,5.04666666666667,5.43333333333333,6344400.0,18.34,0.0,20.22,15.14,16.3,1.0,2114800.0
2006-08-31,5.37333333333333,5.66666666666667,4.55,5.57666666666667,7062300.0,16.12,0.0,17.0,13.65,16.73,1.0,2354100.0
2006-07-31,5.63,6.81,5.38,6.68666666666667,3257700.0,16.89,0.0,20.43,16.14,20.06,1.0,1085900.0
2006-06-30,6.69666666666667,6.87666666666667,6.08,6.61666666666667,4456800.0,20.09,0.0,20.63,18.24,19.85,1.0,1485600.0
2006-05-31,6.6,7.77666666666667,6.54333333333333,7.75666666666667,4275300.0,19.8,0.0,23.33,19.63,23.27,1.0,1425100.0
2006-04-28,7.68,7.95666666666667,6.96,7.09,2495400.0,23.04,0.0,23.87,20.88,21.27,1.0,831800.0
2006-03-31,7.12333333333333,7.77,6.33,6.36666666666667,4443300.0,21.37,0.0,23.31,18.99,19.1,1.0,1481100.0
2006-02-28,6.33333333333333,6.56,6.07333333333333,6.47,3846600.0,19.0,0.0,19.68,18.22,19.41,1.0,1282200.0
2006-01-31,6.51666666666667,6.67666666666667,5.8,6.09,3997800.0,19.55,0.0,20.03,17.4,18.27,1.0,1332600.0
2005-12-30,6.0,6.36666666666667,5.78333333333333,5.99,2243700.0,18.0,0.0,19.1,17.35,17.97,1.0,747900.0
2005-11-30,5.93,6.18333333333333,5.29333333333333,6.02,4284600.0,17.79,0.0,18.55,15.88,18.06,1.0,1428200.0
2005-10-31,6.02,7.64,5.98666666666667,7.40666666666667,4654200.0,18.06,0.0,22.92,17.96,22.22,1.0,1551400.0
2005-09-30,7.41,8.07666666666667,7.07333333333333,7.48666666666667,3755700.0,22.23,0.0,24.23,21.22,22.46,1.0,1251900.0
2005-08-31,7.5,7.72,6.27333333333333,7.3,5756400.0,22.5,0.0,23.16,18.82,21.9,1.0,1918800.0
2005-07-29,7.23333333333333,8.83,7.0,8.02666666666667,4287600.0,21.7,0.0,26.49,21.0,24.08,1.0,1429200.0
2005-06-30,8.02,8.4,6.73,6.98,6539400.0,24.06,0.0,25.2,20.19,20.94,1.0,2179800.0
